#  exp vp  i ty  west  north   east  south  west2  north2  east2 south2
# zubc  1  1  4 262.67  36.22
#   idat itim     vdat  vtim  lev    SVET2M       SVEQ2M       SVEU10M      SVEV10M      SVETSK       SVEFAL       SFEFSRD      SFEFTRD
19970914 12.00 19970914 23.33   1  0.30114E+03  0.16980E-01  0.14292E+00  0.33007E+01  0.30058E+03  0.12353E+00  0.16448E+03  0.38408E+03
19970914 12.00 19970914 23.67   1  0.30077E+03  0.17071E-01  0.59687E-01  0.29681E+01  0.30001E+03  0.12353E+00  0.12681E+03  0.38112E+03
19970914 12.00 19970915  0.00   1  0.30021E+03  0.17094E-01 -0.41922E-01  0.26353E+01  0.29919E+03  0.12353E+00  0.88653E+02  0.37761E+03
19970914 12.00 19970915  0.33   1  0.29901E+03  0.17099E-01 -0.12524E+00  0.24860E+01  0.29763E+03  0.12353E+00  0.45869E+01  0.40149E+03
19970914 12.00 19970915  0.67   1  0.29860E+03  0.16976E-01 -0.21269E+00  0.25541E+01  0.29716E+03  0.12353E+00  0.16533E+01  0.39208E+03
19970914 12.00 19970915  1.00   1  0.29830E+03  0.16885E-01 -0.25412E+00  0.25801E+01  0.29683E+03  0.12353E+00  0.00000E+00  0.38927E+03
19970914 12.00 19970915  1.33   1  0.29804E+03  0.16804E-01 -0.24768E+00  0.25896E+01  0.29658E+03  0.12353E+00 -0.97656E-03  0.38736E+03
19970914 12.00 19970915  1.67   1  0.29780E+03  0.16723E-01 -0.20689E+00  0.25942E+01  0.29636E+03  0.12353E+00  0.97656E-03  0.38588E+03
19970914 12.00 19970915  2.00   1  0.29758E+03  0.16642E-01 -0.15841E+00  0.26012E+01  0.29614E+03  0.12353E+00  0.00000E+00  0.38451E+03
19970914 12.00 19970915  2.33   1  0.29739E+03  0.16558E-01 -0.11164E+00  0.26235E+01  0.29595E+03  0.12353E+00  0.00000E+00  0.38325E+03
19970914 12.00 19970915  2.67   1  0.29722E+03  0.16473E-01 -0.88492E-01  0.26639E+01  0.29579E+03  0.12353E+00  0.00000E+00  0.38215E+03
19970914 12.00 19970915  3.00   1  0.29709E+03  0.16393E-01 -0.94389E-01  0.27237E+01  0.29567E+03  0.12353E+00  0.00000E+00  0.38121E+03
19970914 12.00 19970915  3.33   1  0.29700E+03  0.16330E-01 -0.10758E+00  0.27758E+01  0.29564E+03  0.12353E+00  0.00000E+00  0.38168E+03
19970914 12.00 19970915  3.67   1  0.29684E+03  0.16270E-01 -0.10299E+00  0.27904E+01  0.29554E+03  0.12353E+00  0.00000E+00  0.38145E+03
19970914 12.00 19970915  4.00   1  0.29667E+03  0.16207E-01 -0.75174E-01  0.28201E+01  0.29543E+03  0.12353E+00  0.00000E+00  0.38091E+03
