#  exp vp  i ty  west  north   east  south  west2  north2  east2 south2
# zubc  2  2  3 261.70  37.00 263.00  36.00
#   idat itim     vdat  vtim  lev    SVET2M       SVEQ2M       SVEU10M      SVEV10M      SVETSK       SVEFAL       SFEFSRD      SFEFTRD
19970914 12.00 19970914 23.33   1  0.30217E+03  0.15671E-01  0.19846E+00  0.34792E+01  0.30171E+03  0.12354E+00  0.18303E+03  0.38819E+03
19970914 12.00 19970914 23.67   1  0.30178E+03  0.15994E-01  0.10701E+00  0.30224E+01  0.30097E+03  0.12354E+00  0.14187E+03  0.38423E+03
19970914 12.00 19970915  0.00   1  0.30111E+03  0.16197E-01 -0.10518E-01  0.26223E+01  0.30003E+03  0.12354E+00  0.10011E+03  0.37969E+03
19970914 12.00 19970915  0.33   1  0.29967E+03  0.16608E-01 -0.11515E+00  0.23976E+01  0.29813E+03  0.12354E+00  0.47988E+01  0.40381E+03
19970914 12.00 19970915  0.67   1  0.29914E+03  0.16533E-01 -0.21256E+00  0.24573E+01  0.29754E+03  0.12354E+00  0.18135E+01  0.39228E+03
19970914 12.00 19970915  1.00   1  0.29874E+03  0.16459E-01 -0.28345E+00  0.25094E+01  0.29713E+03  0.12354E+00  0.97656E-03  0.38877E+03
19970914 12.00 19970915  1.33   1  0.29843E+03  0.16395E-01 -0.32063E+00  0.25596E+01  0.29683E+03  0.12354E+00 -0.97656E-03  0.38632E+03
19970914 12.00 19970915  1.67   1  0.29816E+03  0.16344E-01 -0.33444E+00  0.26073E+01  0.29657E+03  0.12354E+00  0.97656E-03  0.38455E+03
19970914 12.00 19970915  2.00   1  0.29791E+03  0.16306E-01 -0.32958E+00  0.26444E+01  0.29634E+03  0.12354E+00 -0.97656E-03  0.38299E+03
19970914 12.00 19970915  2.33   1  0.29767E+03  0.16279E-01 -0.31019E+00  0.26682E+01  0.29613E+03  0.12354E+00  0.00000E+00  0.38164E+03
19970914 12.00 19970915  2.67   1  0.29744E+03  0.16250E-01 -0.28295E+00  0.26874E+01  0.29594E+03  0.12354E+00  0.00000E+00  0.38041E+03
19970914 12.00 19970915  3.00   1  0.29723E+03  0.16221E-01 -0.25272E+00  0.27081E+01  0.29575E+03  0.12354E+00  0.00000E+00  0.37925E+03
19970914 12.00 19970915  3.33   1  0.29732E+03  0.16226E-01 -0.21821E+00  0.27521E+01  0.29596E+03  0.12354E+00  0.00000E+00  0.38645E+03
19970914 12.00 19970915  3.67   1  0.29716E+03  0.16211E-01 -0.16444E+00  0.27472E+01  0.29587E+03  0.12354E+00  0.00000E+00  0.38768E+03
19970914 12.00 19970915  4.00   1  0.29698E+03  0.16183E-01 -0.10150E+00  0.27583E+01  0.29574E+03  0.12354E+00 -0.97656E-03  0.38711E+03
19970914 12.00 19970915  4.33   1  0.29682E+03  0.16148E-01 -0.38203E-01  0.27904E+01  0.29563E+03  0.12354E+00  0.19531E-02  0.38638E+03
19970914 12.00 19970915  4.67   1  0.29668E+03  0.16107E-01  0.23062E-01  0.28334E+01  0.29554E+03  0.12354E+00 -0.97656E-03  0.38572E+03
19970914 12.00 19970915  5.00   1  0.29655E+03  0.16063E-01  0.83745E-01  0.28725E+01  0.29545E+03  0.12354E+00  0.00000E+00  0.38517E+03
19970914 12.00 19970915  5.33   1  0.29644E+03  0.16016E-01  0.14529E+00  0.29112E+01  0.29537E+03  0.12354E+00  0.00000E+00  0.38469E+03
19970914 12.00 19970915  5.67   1  0.29633E+03  0.15969E-01  0.20229E+00  0.29474E+01  0.29529E+03  0.12354E+00  0.00000E+00  0.38421E+03
19970914 12.00 19970915  6.00   1  0.29623E+03  0.15923E-01  0.25925E+00  0.29772E+01  0.29522E+03  0.12354E+00  0.00000E+00  0.38377E+03
19970914 12.00 19970915  6.33   1  0.29609E+03  0.15876E-01  0.31076E+00  0.29778E+01  0.29507E+03  0.12354E+00  0.00000E+00  0.38116E+03
19970914 12.00 19970915  6.67   1  0.29599E+03  0.15836E-01  0.35551E+00  0.29902E+01  0.29499E+03  0.12354E+00 -0.97656E-03  0.38028E+03
19970914 12.00 19970915  7.00   1  0.29590E+03  0.15804E-01  0.38473E+00  0.29880E+01  0.29491E+03  0.12354E+00  0.00000E+00  0.37979E+03
19970914 12.00 19970915  7.33   1  0.29580E+03  0.15779E-01  0.40418E+00  0.29816E+01  0.29483E+03  0.12354E+00  0.97656E-03  0.37932E+03
